customer_id,age,gender,tenure_months,monthly_charges,total_charges,contract_type,payment_method,support_tickets,account_balance,internet_service,online_security,satisfaction_score,days_since_last_login,num_products,referral_source,churn,churn_label
CUST_00352,52.0,Female,13.0,64.39311525514046,855.8778833905786,Two year,Bank Transfer,1,58.9503049877248,Fiber optic,True,1.6,6.0,1,Friend,1,Yes
CUST_00689,46.0,Male,81.0,115.10259485286997,9029.757263810074,Two year,Electronic Check,1,-25.965240829469444,Fiber optic,Yes,4.5,4.0,4,Billboard,0,No
CUST_00485,18.0,Other,44.0,74.21079609544141,3123.9632752803795,One year,Credit Card,4,133.0159355354728,DSL,True,3.0,11.0,4,Email,0,No
CUST_00388,54.0,Male,9.0,20.353376913151116,179.8634663715755,One year,Bank Transfer,4,-13.197764203178918,No,Yes,2.6,11.0,1,Google,1,Yes
CUST_00031,67.0,Female,0.0,90.93709817617082,0.0,One year,Electronic Check,4,-95.45956492889312,DSL,yes,3.3,63.0,1,Facebook,1,Yes
CUST_00442,18.0,Male,78.0,-41.11802304146163,3223.3497479774633,Month-to-month,Electronic Check,2,-86.05465725486287,Fiber optic,No,2.0,9.0,2,nan,1,Yes
CUST_00198,40.0,Female,17.0,69.05682488875671,1178.5549395078542,Month-to-month,Electronic Check,0,-64.1146634452866,Fiber optic,No,3.2,17.0,3,Billboard,1,Yes
CUST_00425,60.0,Male,,56.10515913743803,2054.244446922844,Two year,Credit Card,4,-249.5707383782465,DSL,Yes,1.9,1.0,4,Billboard,1,Yes
CUST_00107,42.0,Female,8.0,100.71128638320944,,One year,Electronic Check,3,22.860414557842073,Fiber optic,Yes,2.5,1.0,1,nan,1,Yes
CUST_00714,39.0,Male,19.0,34.543776237375965,649.5617830274659,Month-to-month,Credit Card,0,-15.404003002697223,Fiber optic,yes,1.0,24.0,1,Instagram,1,Yes
CUST_00552,57.0,Female,,66.68003894328012,1291.6164073707732,monthly,,2,-90.83780929706866,DSL,Yes,2.5,15.0,3,Email,0,No
CUST_00675,28.0,Female,4.0,43.81116728638899,169.1788022058472,Month-to-month,,2,127.90399164592539,DSL,NO,5.0,0.0,2,Google,1,Yes
CUST_00158,22.0,Male,20.0,67.78157303174822,1337.695036052829,One year,Credit Card,3,1.318026088668942,No,Yes,3.2,1.0,1,Friend,0,No
CUST_00475,36.0,Female,,121.07543974388817,835.5272703553898,One year,,0,-73.29008084917777,Fiber optic,No,4.9,9.0,3,Instagram,0,No
CUST_00423,54.0,Male,0.0,86.55222399732762,0.0,Month-to-month,Credit Card,1,-8.966392153963396,Fiber optic,Yes,3.9,40.0,1,Email,0,No
CUST_00656,40.0,Female,30.0,89.15980505929306,2700.8463502325053,Month-to-month,Electronic Check,3,-50.89765283907034,Fiber optic,Yes,2.5,8.0,2,Other,0,No
CUST_00617,50.0,Male,81.0,115.69715865136774,9403.674371660214,Two year,Bank Transfer,4,-80.80232546464313,Fiber optic,No,4.6,36.0,1,Instagram,0,No
CUST_00483,43.0,Female,,62.54414145776652, ,One year,Credit Card,4,18.549100031849015,No,No,3.4,3.0,4,Facebook,1,Yes
CUST_00884,-17.118950146884337,Male,2.0,60.934582390521356,119.86955114435887,Month-to-month,Electronic Check,2,265.37248753663505,DSL,yes,4.3,10.0,1,Email,1,Yes
CUST_00650,67.0,Male,,83.23921455097738,1375.0597102996771,Two year,Bank Transfer,0,-181.15918203349892,Fiber optic,NO,3.2,32.0,3,TV Ad,1,Yes
CUST_00244,21.0,Female,25.0,78.86873466241285,2003.99443775134,Two year,Credit Card,0,10.31218341080561,fiber,Yes,3.3,2.0,4,Billboard,0,No
CUST_00847,76.0,Male,18.0,117.65880784130788,2097.5031921945288,Two year,Mailed Check,3,9.673643273801408,DSL,0,2.1,1.0,2,Google,1,Yes
CUST_00982,25.0,Female,9.0,45.53873115051637,396.26647735650374,Month-to-month,Credit Card,2,-77.81814783754997,No,NO,5.0,43.0,1,Email,1,Yes
CUST_00828,33.0,FEMALE,,16.719647378547933,530.6408821814283,Month-to-month,Electronic Check,4,78.79312524960528,No,No,3.7,1.0,2,Friend,0,No
CUST_00570,40.0,Male,17.0,58.30228880321664,1017.7103432895155,Month-to-month,Credit Card,0,-59.74382974725463,fiber,NO,3.7,17.0,5,Google,0,No
CUST_00059,54.0,Female,3.0,95.63575681199848,293.05464496323356,Two year,Credit Card,1,-46.73860752954615,Fiber optic,No,2.3,16.0,3,Twitter,1,Yes
CUST_00290,36.0,Female,1.0,54.21256430447737,56.321902446339074,Two year,Bank Transfer,1,-82.35226168569771,DSL,No,3.2,16.0,3,Friend,1,Yes
CUST_00070,45.0,Female,3.0,95.44522638000004,273.5551480649047,One year,Bank Transfer,1,125.02869129412333,No,Yes,2.9,14.0,2,Google,0,No
CUST_00344,32.0,Female,8.0,99.89711531738342,799.6623344875113,Month-to-month,Credit Card,3,78.40560382503568,Fiber optic,yes,4.6,34.0,5,Instagram,1,Yes
CUST_00184,36.0,Female,7.0,96.23551222397568,691.2283425572955,Month-to-month,Mailed Check,2,-133.08092618619995,No,1,3.6,8.0,2,Instagram,0,No
CUST_00141,59.0,Female,9.0,80.27013503468865,Pending,monthly,Credit Card,2,9.119636937142765,DSL,NO,1.6,0.0,3,Google,1,Yes
CUST_00390,26.0,male,3.0,66.31873199212828,203.21169928531694,Two year,Electronic Check,1,-56.438809870572335,Fiber optic,No,3.5,54.0,2,Facebook,1,Yes
CUST_00491,62.0,Female,0.0,106.5691236938099,0.0,One year,Mailed Check,2,-4.809742304265799,Fiber optic,Yes,4.4,2.0,3,Google,0,No
