property_id,sqft_living,sqft_lot,bedrooms,bathrooms,floors,year_built,year_renovated,condition,grade,waterfront,view,city,zipcode,latitude,longitude,distance_to_downtown,school_rating,crime_rate,has_garage,sqft_basement,price
PROP_00352,2074.9747640549976,12666.73946770685,3,2.5,2.0,2023.0,0.0,3,6.0,0,0,Other,98157,47.31247895396283,-121.84411878435417,5.396556342179616,9.2,0.6115061914546189,Yes,,600130.3955713098
PROP_00689,1207.0779821460708,7376.06264433528,2,2.0,2.0,1968.0,1996.0,2,7.0,Yes,0,Seattle,98100,47.73380798116191,-122.01063124848298,23.112477090274368,,5.5656079584836196,TRUE,0.0,712611.7692284775
PROP_00485,3314.2327694826477,2414.299700582706,2,4.0,3.0,1920.0,0.0,3,6.0,1,2,Other,98162,47.31919469514221,-122.23815084223942,8.284677014093585,3.5,8.725351140522548,0,636.1059800711031,732686.4499340324
PROP_00388,,,2,2.0,2.0,2007.0,2020.0,3,8.0,0,3,Seattle,98196,47.11191994946305,-121.57394673352294,3.453020987457591,8.6,3.2604630450766052,Yes,0.0,706438.4254961764
PROP_00031,1186.9612519774164,5917.5756348055675,1,2.0,2.0,1996.0,0.0,1,9.0,0,0,Seattle,98045,47.28342548007914,-122.11170558437912,1.5651353518400781,6.5,0.7516255554798777,1,0.0,531928.51709929
PROP_00442,,4599.724784877309,3,2.5,2.0,1977.0,0.0,3,11.0,0,0,Redmond,98137,47.60295054067133,-122.3494970675947,16.872416355584917,5.9,2.661738806102394,No,679.9209739800442,565474.5549899826
PROP_00198,3181.1325693966132,2462.626314303797,3,2.0,1.0,1983.0,2020.0,3,8.0,0,0,BELLEVUE,98113,47.12991107230817,-122.3570484008839,0.7645701117827666,5.6,,TRUE,0.0,729086.2005479687
PROP_00425,1797.4613156953928,8294.67427295911,3,2.0,1.0,1981.0,1994.0,4,,0,2,Seattle,98181,47.552544584915374,-122.45074891278817,12.086182224476783,5.2,2.985353643124667,Yes,0.0,566834.0222166985
PROP_00107,2408.749147538583,9500.572049907412,2,2.0,2.5,1989.0,0.0,4,5.0,0,0,Tacoma,98140,47.50885380767326,-122.22973335934917,31.901225837651456,7.2,0.2652832102698863,Yes,324.793899490455,555497.6965102057
PROP_00714,1429.0433017039747,2163.398435397503,3,2.0,3.0,2008.0,0.0,3,10.0,No,2,Seattle,98158,47.536709987086375,-122.34075957736061,3.212215241778727,,3.1904514589833775,Yes,,606810.2296658814
